Date,Price,Buy_Signal,Sell_Signal,DCA_Shares,DCA_Portfolio,DCA_Total_Invested,Dip_Shares,Dip_HYSA_Balance,Dip_Equity,Dip_Total_Value,Dip_Total_Invested,HYSA_Rate_Annual,Dist_From_ATH_Pct,StdDev_100d
2002-11-11,980.5,True,False,13.792158991252505,13523.211890923081,18600.0,14.586343517151438,0.0,14301.909818566985,14301.909818566985,18600.0,1.19,,64.26141745027512
2002-11-18,1050.0,True,False,13.982635181728694,14681.766940815129,18800.0,14.776819707627627,0.0,15515.66069300901,15515.66069300901,18800.0,1.21,,64.51737120233543
2002-11-25,1126.0,True,False,14.160255075156758,15944.44721462651,19000.0,14.954439601055691,0.0,16838.698990788707,16838.698990788707,19000.0,1.27,,70.810919626673
2002-12-02,1127.5,True,False,14.337638667174497,16165.687597239246,19200.0,15.13182319307343,0.0,17061.13065019029,17061.13065019029,19200.0,1.245,,78.72073947330335
2002-12-09,1015.0,True,False,14.534683002149867,14752.703247182115,19400.0,15.3288675280488,0.0,15558.800540969532,15558.800540969532,19400.0,1.2149999999999999,,81.37970982811741
2002-12-16,1040.0,True,False,14.726990694457559,15316.07032223586,19600.0,15.521175220356492,0.0,16142.02222917075,16142.02222917075,19600.0,1.2850000000000001,,81.93977386102259
2002-12-23,1033.5,True,False,14.920507869106808,15420.344882721887,19800.0,15.714692395005741,0.0,16241.134590238433,16241.134590238433,19800.0,1.225,,81.55261695076362
2002-12-30,993.0,True,False,15.121917738190394,15016.06431402306,20000.0,15.916102264089327,0.0,15804.689548240702,15804.689548240702,20000.0,1.2149999999999999,,81.22663138423461
2003-01-06,1061.0,True,False,15.310419151950997,16244.354720220008,20200.0,16.10460367784993,0.0,17086.984502198775,17086.984502198775,20200.0,1.205,,81.59372309480533
2003-01-13,1086.5,False,False,15.494496464422236,16834.77040859476,20400.0,16.10460367784993,200.0,17497.65189598395,17697.65189598395,20400.0,1.225,,83.66565844790982
2003-01-20,1018.5,False,False,15.69086367109872,15981.144649014046,20600.0,16.10460367784993,400.0327106982801,16402.538845890154,16802.571556588435,20600.0,1.18,,85.13145606000683
2003-01-27,988.5,False,False,15.893190428812428,15710.418738881084,20800.0,16.10460367784993,600.0986789964002,15919.400735554656,16519.499414551057,20800.0,1.225,,83.66817993281008
2003-02-03,986.0,False,False,16.09603018540472,15870.685762809055,21000.0,16.10460367784993,800.198452008782,15879.13922636003,16679.33767836881,21000.0,1.23,,82.53946666233026
2003-02-10,969.0,True,False,16.30242853421793,15797.053249657176,21200.0,17.1317446544252,0.0,16600.66057013802,16600.66057013802,21200.0,1.2,,79.52286810173813
2003-02-17,992.0,True,False,16.50404143744374,16372.00910594419,21400.0,17.33335755765101,0.0,17194.690697189802,17194.690697189802,21400.0,1.23,,73.80266727246882
2003-02-24,994.0,True,False,16.705248680904504,16605.017188819078,21600.0,17.534564801111774,0.0,17429.357412305104,17429.357412305104,21600.0,1.22,,65.40950055385892
2003-03-03,992.5,True,False,16.906760015917097,16779.959315797718,21800.0,17.736076136124368,0.0,17603.055565103434,17603.055565103434,21800.0,1.255,,48.985227668009365
2003-03-10,966.5,True,False,17.113692245611873,16540.383555383876,22000.0,17.943008365819143,0.0,17341.917585564202,17341.917585564202,22000.0,1.145,,44.41353151495618
2003-03-17,1071.5,True,False,17.30034646866367,18537.321241173122,22200.0,18.12966258887094,0.0,19425.933463975212,19425.933463975212,22200.0,1.22,,44.0432836282839
2003-03-24,1050.0,True,False,17.49082265913986,18365.36379209685,22400.0,18.32013877934713,0.0,19236.145718314485,19236.145718314485,22400.0,1.19,,44.49693554445801
2003-03-31,1021.0,True,False,17.68670904503604,18058.129934981796,22600.0,18.51602516524331,0.0,18904.861693713417,18904.861693713417,22600.0,1.25,,44.74957132577247
2003-04-07,1051.0,True,False,17.877004002219675,18788.73120633288,22800.0,18.706320122426945,0.0,19660.34244867072,19660.34244867072,22800.0,1.2,,44.624702198114264
2003-04-14,1048.5,True,False,18.06775269082244,18944.03869632733,23000.0,18.897068811029712,0.0,19813.57664836465,19813.57664836465,23000.0,1.25,,43.434736887276536
2003-04-21,1084.5,True,False,18.252169472749596,19794.477793196937,23200.0,19.081485592956867,0.0,20693.87112556172,20693.87112556172,23200.0,1.225,,40.79642858708444
2003-04-28,1107.0,True,False,18.432837946100996,20405.151606333802,23400.0,19.262154066308266,0.0,21323.20455140325,21323.20455140325,23400.0,1.205,,40.24026019919913
2003-05-05,1138.5,True,False,18.60850768698813,21185.786001635985,23600.0,19.4378238071954,0.0,22129.962404491962,22129.962404491962,23600.0,1.19,,45.179450391484814
2003-05-12,1160.0,True,False,18.78092148009158,21785.86891690623,23800.0,19.61023760029885,0.0,22747.875616346664,22747.875616346664,23800.0,1.165,,51.246478461373975
2003-05-19,1114.0,True,False,18.960454693736104,21121.94652882202,24000.0,19.789770813943374,0.0,22045.804686732918,22045.804686732918,24000.0,1.145,,56.511698825321794
2003-05-26,1132.5,False,False,19.13705513523721,21672.714940656137,24200.0,19.789770813943374,200.0,22411.91544679087,22611.91544679087,24200.0,1.135,,58.412721832998876
2003-06-02,1190.5,False,False,19.305051775304406,22982.664138499895,24400.0,19.789770813943374,400.0324399810959,23559.722153999588,23959.754593980684,24400.0,1.195,,65.16430949929402
2003-06-09,1197.5,False,False,19.47206638908311,23317.799500927023,24600.0,19.789770813943374,600.0941828753071,23698.25054969719,24298.344732572496,24600.0,1.13,,73.6736936427428
2003-06-16,1243.0,False,False,19.632967434939907,24403.778521630305,24800.0,19.789770813943374,800.1820876019713,24598.685121731614,25398.867209333584,24800.0,1.09,,80.70568380846437
2003-06-23,1205.0,False,False,19.798942538674346,23857.72575910259,25000.0,19.789770813943374,1000.294528731324,23846.673830801767,24846.96835953309,25000.0,1.02,,85.33451689074026
2003-06-30,1204.5,False,False,19.964986540334785,24047.82628783325,25200.0,19.789770813943374,1200.4349504189345,23836.778945394795,25037.21389581373,25200.0,1.17,,84.81539739749581
2003-07-07,1285.0,False,False,20.120628563681088,25855.007704330197,25400.0,19.789770813943374,1400.5585285343811,25429.855495917236,26830.414024451617,25400.0,0.95,,85.39037114894425
2003-07-14,1299.5,False,False,20.274533911891936,26346.75681850357,25600.0,19.789770813943374,1600.7370925633904,25716.807172719415,27317.544265282806,25600.0,0.98,,90.4430859344763
2003-07-21,1241.5,False,False,20.4356293609455,25370.83385161384,25800.0,19.789770813943374,1800.9474782530372,24569.0004655107,26369.94794376374,25800.0,0.9650000000000001,,91.01771959525524
2003-07-28,1283.5,False,False,20.591453279917065,26429.130284773553,26000.0,19.789770813943374,2001.1871107091927,25400.17083969632,27401.357950405512,26000.0,1.0,,89.19388775653998
2003-08-04,1265.5,False,False,20.749493580193636,26258.484125735045,26200.0,19.789770813943374,2201.456101968589,25043.95496504534,27245.41106701393,26200.0,0.975,,83.84817160218847
2003-08-11,1222.5,False,False,20.913092762197728,25566.25590178672,26400.0,19.789770813943374,2401.7367758418754,24192.994820045773,26594.73159588765,26400.0,0.98,,81.42507420535438
2003-08-18,1287.0,False,False,21.068492917597883,27115.150384948476,26600.0,19.789770813943374,2602.0745833147334,25469.43503754512,28071.509620859855,26600.0,0.985,,79.67571730245653
2003-08-25,1307.0,False,False,21.221515105815175,27736.520243300434,26800.0,19.789770813943374,2802.416927277328,25865.23045382399,28667.64738110132,26800.0,1.02,,77.46154139826152
2003-09-01,1349.5,False,False,21.369718143977458,28838.43463529758,27000.0,19.789770813943374,3002.795137506871,26706.295713416584,29709.090850923454,27000.0,0.985,,74.69213802864911
2003-09-08,1388.0,False,False,21.51381036299763,29861.168783840712,27200.0,19.789770813943374,3203.1922416662137,27468.201889753404,30671.394131419616,27200.0,0.97,,73.85728612985606
2003-09-15,1347.5,False,False,21.662233368563495,29189.85946413931,27400.0,19.789770813943374,3403.6171503006594,26666.716171788696,30070.333322089355,27400.0,1.025,64.31408898305084,73.09809610418246
2003-09-22,1365.5,False,False,21.808699864352583,29779.779664773454,27600.0,19.789770813943374,3604.0626431401956,27022.932046439677,30626.99468957987,27600.0,0.98,62.28942281137807,74.52971327423859
2003-09-29,1336.0,False,False,21.958400463154977,29336.423018775047,27800.0,19.789770813943374,3804.545619484026,26439.13380742835,30243.679426912375,27800.0,0.995,61.82311758822689,72.3808732955385
2003-10-06,1386.5,False,False,22.102648569898577,30645.322242164377,28000.0,19.789770813943374,4005.0590720347113,27438.51723353249,31443.5763055672,28000.0,0.9550000000000001,60.3800542934705,70.96746965659399
2003-10-13,1418.5,False,False,22.243642577653247,31552.606996401133,28200.0,19.789770813943374,4205.576221029545,28071.789899578675,32277.366120608218,28200.0,0.95,59.46563794827833,67.81240443805135
2003-10-20,1411.5,False,False,22.385335811801315,31596.901498357558,28400.0,19.789770813943374,4406.13695198813,27933.261503881073,32339.398455869203,28400.0,0.9750000000000001,57.903370116313745,68.21322479934514
2003-10-27,1377.5,False,False,22.530526374414745,31035.80008075631,28600.0,19.789770813943374,4606.720837232979,27260.409296207,31867.130133439976,28600.0,0.995,58.9173874142559,68.18177647068812
2003-11-03,1439.0,False,False,22.669511780947058,32621.427452782817,28800.0,19.789770813943374,4807.3313033724235,28477.480201264516,33284.81150463694,28800.0,0.98,53.82640782929569,69.73110380538763
2003-11-10,1416.5,False,False,22.810704862486062,32311.36343771151,29000.0,19.789770813943374,5007.962483219014,28032.21035795079,33040.172841169806,29000.0,0.97,52.53811358686548,71.84982456174552
2003-11-17,1395.0,False,False,22.9540740381133,32020.933283168055,29200.0,19.789770813943374,5208.622722771735,27606.730285451005,32815.35300822274,29200.0,0.99,53.25850226168537,68.78446613684898
2003-11-24,1415.5,False,False,23.09536686750221,32691.491800949378,29400.0,19.789770813943374,5409.303056245095,28012.420587136847,33421.72364338194,29400.0,0.96,52.57162003685709,65.31976590469736
2003-12-01,1443.5,False,False,23.233918997741213,33538.162073239444,29600.0,19.789770813943374,5610.017676113231,28566.53416992726,34176.55184604049,29600.0,0.98,51.633439437091646,66.44873232491679
2003-12-08,1417.5,False,False,23.37501247216802,33134.080179298166,29800.0,19.789770813943374,5810.742063756982,28052.000128764732,33862.74219252171,29800.0,0.95,48.36065573770492,65.38362438471596
2003-12-15,1399.5,True,False,23.51792065366141,32913.32995479914,30000.0,24.113284422520998,0.0,33746.541549318135,33746.541549318135,30000.0,0.9650000000000001,49.01639344262295,62.87386594655872
2003-12-22,1433.5,True,False,23.657439314282268,33912.93925702363,30200.0,24.252803083141856,0.0,34766.39321968385,34766.39321968385,30200.0,0.9550000000000001,47.77777777777778,60.124154006216635
2003-12-29,1470.0,True,False,23.793493736050976,34976.43579199493,30400.0,24.388857504910565,0.0,35851.62053221853,35851.62053221853,30400.0,0.935,46.44808743169399,52.84894673753115
2004-01-05,1495.5,True,False,23.92722827299514,35783.169882264236,30600.0,24.52259204185473,0.0,36673.536398593744,36673.536398593744,30600.0,0.935,45.51912568306011,47.34742503772634
2004-01-12,1544.5,True,False,24.056720017896403,37155.604067641,30800.0,24.65208378675599,0.0,38075.14340864463,38075.14340864463,30800.0,0.94,43.73406193078324,49.86874815308077
2004-01-19,1553.0,True,False,24.185503018540317,37560.08618779311,31000.0,24.780866787399905,0.0,38484.686120832055,38484.686120832055,31000.0,0.925,42.42817423540315,54.28823726787889
